"cell","post_prob","p_norm","type"
"cell1",0.363105175292154,0.39,"A"
"cell2",0.325831942125765,0.458,"A"
"cell3",0.529382303839733,0.168,"C"
"cell4",0.778375069560378,0.022,"E"
"cell5",0.191151919866444,0.704,"D"
"cell6",0.196994991652755,0.69,"A"
"cell7",0.134390651085142,0.794,"A"
"cell8",0.328046744574291,0.45,"A"
"cell9",0.458235948803561,0.256,"A"
"cell10",0.1669449081803,0.742,"B"
"cell11",0.295542570951586,0.514,"B"
"cell12",0.00166944908180301,0.916,"A"
"cell13",0.0901502504173623,0.834,"D"
"cell14",0.0208681135225376,0.898,"D"
"cell15",0.537690595436839,0.16,"B"
"cell16",0.0801335559265442,0.836,"C"
"cell17",0.0191986644407346,0.898,"D"
"cell18",0.600829159710629,0.106,"B"
"cell19",0.015025041736227,0.9,"C"
"cell20",0.529215358931553,0.168,"A"
"cell21",0.219532554257095,0.64,"A"
"cell22",0.350467445742905,0.41,"C"
"cell23",0.013355592654424,0.9,"E"
"cell24",0.719070673344463,0.042,"B"
"cell25",0.24457429048414,0.606,"D"
"cell26",0.65025041736227,0.08,"C"
"cell27",0.558041179744018,0.144,"F"
"cell28",0.210289371174179,0.668,"C"
"cell29",0.0258764607679466,0.894,"A"
"cell30",0.185308848080134,0.718,"A"
"cell31",0.799026154702282,0.018,"F"
"cell32",0.487696160267112,0.214,"A"
"cell33",0.101836393989983,0.826,"F"
"cell34",0.703834168057874,0.046,"B"
"cell35",0.000834724540901503,0.916,"C"
"cell36",0.528386199220924,0.168,"F"
"cell37",0.00333889816360601,0.916,"F"
"cell38",0.259810795770729,0.566,"E"
"cell39",0.0684474123539232,0.848,"F"
"cell40",0.755392320534224,0.034,"B"
"cell41",0.013355592654424,0.9,"A"
"cell42",0.782782415136338,0.022,"B"
"cell43",0.732710072342794,0.04,"A"
"cell44",0.202003338898164,0.68,"A"
"cell45",0.549309961046188,0.15,"A"
"cell46",0.0278909293266555,0.892,"A"
"cell47",0.0717863105175292,0.846,"B"
"cell48",0.33889816360601,0.43,"B"
"cell49",0.727045075125209,0.042,"B"
"cell50",0.675982192543127,0.066,"E"
"cell51",0.010016694490818,0.904,"E"
"cell52",0.169449081803005,0.738,"D"
"cell53",0.63567612687813,0.084,"A"
"cell54",0.272954924874791,0.558,"B"
"cell55",0.0592654424040067,0.864,"B"
"cell56",0.174251530328325,0.734,"E"
"cell57",0.191151919866444,0.704,"F"
"cell58",0.0459098497495826,0.878,"C"
"cell59",0.0893155258764608,0.834,"A"
"cell60",0.712003338898164,0.046,"A"
"cell61",0.802793544796884,0.018,"A"
"cell62",0.725375626043406,0.042,"B"
"cell63",0.109348914858097,0.822,"A"
"cell64",0.0484140233722871,0.878,"C"
"cell65",0.301335559265442,0.512,"A"
"cell66",0.738486366165832,0.038,"A"
"cell67",0.217273233166388,0.652,"C"
"cell68",0.0367278797996661,0.886,"B"
"cell69",0.313856427378965,0.486,"B"
"cell70",0.076661101836394,0.842,"B"
"cell71",0.33488592097941,0.438,"F"
"cell72",0.197707289927657,0.688,"D"
"cell73",0.0609348914858097,0.86,"A"
"cell74",0.72740122426266,0.042,"A"
"cell75",0.467351140790206,0.234,"B"
"cell76",0.0734557595993322,0.844,"A"
"cell77",0.409922092376183,0.312,"A"
"cell78",0.0358931552587646,0.886,"B"
"cell79",0.668942682248191,0.068,"B"
"cell80",0.0659432387312187,0.85,"C"
"cell81",0.581541457985531,0.128,"B"
"cell82",0.442877017250974,0.278,"B"
"cell83",0.464468558708959,0.242,"C"
"cell84",0.129181969949917,0.806,"F"
"cell85",0.161936560934891,0.758,"B"
"cell86",0.508580968280467,0.186,"D"
"cell87",0.500845854201447,0.198,"B"
"cell88",0.224045631608236,0.632,"B"
"cell89",0.0992042292710072,0.826,"F"
"cell90",0.13355592654424,0.794,"D"
"cell91",0.0968280467445743,0.828,"B"
"cell92",0.617657206455203,0.092,"D"
"cell93",0.0450751252086811,0.882,"B"
"cell94",0.015025041736227,0.9,"F"
